         20874020 function calls (19984092 primitive calls) in 221.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19440    0.010    0.000    0.010    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeVariableAccessed}
     2785    0.010    0.000    0.044    0.000 op_def_library.py:316(_ExtractAttrProto)
        1    0.010    0.010    0.010    0.010 {built-in method set_icon}
    16758    0.010    0.000    0.017    0.000 compat.py:61(as_bytes)
        2    0.010    0.005    0.010    0.005 telemetry.py:84(<setcomp>)
        1    0.010    0.010    0.010    0.010 backend_macosx.py:116(__init__)
    46726    0.010    0.000    0.011    0.000 feedparser.py:78(readline)
     4846    0.010    0.000    0.168    0.000 auto_control_deps.py:661(_get_resource_inputs)
    18857    0.010    0.000    0.011    0.000 capture_container.py:89(get_by_ref_snapshot)
     9644    0.010    0.000    0.030    0.000 ops.py:4432(name_scope)
      638    0.010    0.000    0.066    0.000 feedparser.py:218(_parsegen)
    10520    0.010    0.000    0.010    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBuffer}
    27123    0.010    0.000    0.010    0.000 dtypes.py:69(_is_ref_dtype)
   112782    0.010    0.000    0.010    0.000 function_type.py:170(captures)
    20768    0.010    0.000    0.293    0.000 nest.py:692(pack_sequence_as)
     2840    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3453    0.010    0.000    0.086    0.000 tf_decorator.py:115(make_decorator)
      100    0.009    0.000    0.009    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
       30    0.009    0.000    0.010    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    48634    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x10477b388}
    18821    0.009    0.000    0.013    0.000 save_context.py:59(in_save_context)
     9076    0.009    0.000    0.019    0.000 dtypes.py:186(is_compatible_with)
    25021    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
      645    0.009    0.000    0.009    0.000 {method 'readlines' of '_io._IOBase' objects}
    19698    0.009    0.000    0.100    0.000 ops.py:1124(_numpy)
     2199    0.009    0.000    0.324    0.000 constant_op.py:272(_constant_impl)
    56439    0.009    0.000    0.009    0.000 iterator_ops.py:845(element_spec)
   135201    0.009    0.000    0.009    0.000 inspect.py:2552(default)
    18802    0.009    0.000    0.017    0.000 tape.py:220(could_possibly_record)
   137425    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
    21558    0.009    0.000    0.009    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsEmpty}
     4736    0.009    0.000    0.109    0.000 auto_control_deps_utils.py:85(get_read_write_resource_inputs)
     2785    0.009    0.000    0.035    0.000 ops.py:3412(graph_def_versions)
    39010    0.009    0.000    0.009    0.000 ops.py:1314(graph)
    18816    0.009    0.000    0.009    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetPossibleGradientTypes}
